Document_Number,Subject,Status,Category,Topics,Title,Content,Measure,Year,ATCM,Feature,City
197,Annex IV of the Environment Protocol (Prevention of Marine Pollution),Effective 15/12/1997,Marine pollution,Marine pollution,,,,,,,
196,Annex III of the Environment Protocol,Effective 15/12/1997,Waste disposal and management,Waste disposal and management,,,,,,,
195,Annex II of the Environment Protocol,Effective 15/12/1997. Replaced:M 16 (2009),Fauna and floraInformation exchange,Fauna and floraInformation exchange,,,,,,,
194,Annex I of the Environment Protocol,Effective 15/12/1997,Environmental impact assessment,Environmental impact assessment,,,,,,,
193,Environment Protocol,Effective 15/12/1997,Environmental protectionArea protection and managementEnvironmental impact assessmentFauna and floraWaste disposal and management,Environmental protectionArea protection and managementEnvironmental impact assessmentFauna and floraWaste disposal and management,,,,,,,
192,Recognition of Ecuador and The Netherlands as Consultative Parties,Adopted 19/11/1990,General matters,General matters,"Other, adopted by SATCM X (Viña del Mar, 1990)","The Representatives of the Consultative Parties:Recalling paragraph 2 and 3 of the Final Report of the Ninth Special Antarctic Treaty Consultative Meeting held in Paris on October 9th, 1989;Noting that on August 21th, 1990, Ecuador transmitted to the Government of the United States of America as Depositary Government for the Antarctic Treaty documents pertaining to Ecuadorian Activities in the Antarctic 1983-1988, the Annual Exchange of Information under Article VII (5) of the Antarctic Treaty for 1990 and the Ecuadorian scientific station «Pedro Vicente Maldonado»;Noting that on March 2, 1990 Ecuador established a scientific station named «Pedro Vicente Maldonado» at lat. 62° 27'S, long. 59° 44' W on Greenwich Island, South Shetland Islands;Noting that between 1983 and 1988 Ecuador undertook scientific studies in physical and biological oceanography, hydrography and meteorology and in 1988 established a refuge on Point Hennequin, Admiralty Bay, King George Island, South Shetland Islands;Noting that in 1989-90 Ecuador undertook further scientific studies in physical and biological oceanography, terrestrial biology, geology, geodesy, hydrography and human biology and medicine;Noting also that Ecuador has developed a programme of Antarctic research extending to 1995;Noting that on July 10th 1990, the Netherlands transmitted to the Government of the United States of America as Depositary Government for the Antarctic Treaty documents pertaining to the Annual Exchange of Information under Article VII (5) of the Antarctic Treaty for 1989-90 and planned activities for 1990-91, and the Netherlands Antarctic Expedition, King George Island, Arctowski Station, December 1990-February 1991;Noting that over many years Netherlands scientists have undertaken a wide variety of scientific studies in various parts of Antarctica in co-operation with expeditions of other nations, and that in 1989-90 the Netherlands undertook studies relating to:- the glacial geology of North Victoria Land and Oates Land;- development of behavior and thermo-regulation in chicks of bird species breeding in the South Shetland Islands;- geology of the Vestfold Hills, Christensen Coast, Princess Elizabeth Land;- geology of the Geologists and Miller Ranges in the Central Transantarctic Mountains;- respiratory activity and biomass of microorganisms in the Antarctic; and- the role of protozoa in the Antarctic marine ecosystem;Noting that in 1990-91 the Netherlands intends to undertake an intensive programme of environmental impact studies in the vicinity of the Polish «Arctowski Station» on King George Island, for which purpose it will use a large part of the station;Noting also that the Netherlands has developed a programme for Antarctic research extending to 1994;Recognising that on the basis of scientific programmes being carried out, facilities that have been established, the commitments to independent scientific activities that have been made and their further intentions, Ecuador and the Netherlands have demonstrated the substantial nature of their interest in Antarctica, in accordance with Article IX, paragraph 2 of the Antarctic Treaty;Having ascertained, in accordance with Article IX of the Antarctic Treaty, on the basis of the information provided about scientific expeditions and the research carried out, that the activities of Ecuador and the Netherlands are in accordance with the principles and purposes of the Treaty;Record their acknowledgment that Ecuador and the Netherlands have fulfilled the requirements established in Article IX, paragraph 2 of the Antarctic Treaty and that in consequence, during such times as they continue, in accordance with Article IX, paragraph 2 of the Treaty, to demonstrate their interest in Antarctica, they are entitled to appoint Representatives to participate in the Consultative Meetings provided for in Article IX paragraph 1 of the Treaty; and hereby warmly welcome Ecuador and the Netherlands as participants in such meetings.",,1990,ATCM X,,
191,Commemorative stamp issue,Did not enter into effect. Spent:D 3 (2002),General matters,General matters,"Recommendation XV-22 (ATCM XV - Paris, 1989)","ANTARCTIC TREATY THIRTIETH ANNIVERSARY COMMEMORATIVE STAMP ISSUEThe Representatives,Recommend to their Governments that:1.  On the occasion of the Thirtieth Anniversary of the entry into force of the Antarctic Treaty, each Consultative party should issue a commemorative stamp (or stamps) on a common date in 1991 (e.g. 23 June 1991).2.  The stamp (or stamps) should bear, in the language or languages of each issuing country, the following words :""Antarctic Treaty 1961-1991""3.  Consideration be given to the themes of protecting the Antarctic environment and international cooperation in Antarctic scientific research for the most prominent features of the design.4.  There should be incorporated into the design of the stamp (or stamps), the Antarctic Treaty emblem representing a map of Antarctica which appears on the official documents of Consultative Meetings.5.  Any additional matter should be consonant with the provisions and the spirit of the Antarctic Treaty.6. The number of stamps to be issued and the denominations of the stamp or stamps should remain at the discretion of the issuing country.",,1989,ATCM XV,,
190,Exploitation of icebergs,Effective 29/01/2004,Mineral resourcesScientific cooperation,Mineral resourcesScientific cooperation,"Recommendation XV-21 (ATCM XV - Paris, 1989)","USE OF ANTARCTIC ICEThe Representatives,Considering that the ice existing in Antarctica represents the world's largest freshwater reserve;Noting that, technological developments might one day make it possible to utilize icebergs detached from the continent for freshwater requirements, especially in coastal areas;Recalling the principles enshrined in the Antarctic Treaty, which lay down a regime for international co-operation guaranteeing that Antarctica shall continue for ever to be used exclusively for peaceful purposes and shall not become the scene or object of international discord;Convinced that the structure established under the Antarctic Treaty has proved effective in promoting international peace, in keeping with the purposes and principles of the United Nations Charter;Concerned that uncontrolled activities relating to the exploitation of Antarctic icebergs could also have an adverse effect on the unique Antarctic environment and its dependent and associated ecosystems;Noting that sufficient scientific information is not yet available on the environment impacts, including global climate and weather, which might occur in the event of floating icebergs being used for that purpose;Noting that the harvesting of ice in the coastal regions of Antarctica, especially if this were to require land-based installations, could give rise to a number of additional environmental or other issues;Acknowledging that the Antarctic Treaty is the most appropriate framework for fostering international efforts to guarantee the protection of the environment and give impetus to the freedom of scientific research and co-operation in Antarctica;Recognizing the desirability that commercial exploitation of Antarctic ice not occur, in any case, prior to examination by the Contracting Parties to the Antarctic Treaty of the issues posed by such activity;Recommend to their Governments that:1.  They exchange information on the feasibility of commercial exploitation of icebergs, relevant technologies and possible environmental impacts.2.  Through their national committees, they invite SCAR to provide advice, as appropriate, on the above-mentioned matters, and continue to co-ordinate research programmes in polar glaciology, biology, oceanography, and meteorology in relation to Antarctic ice.3.  They include an item on ""Use of Antarctic Ice"" on the agenda of the XVIth Consultative Meeting.",,1989,ATCM XV,,
189,Air safety measures,Effective 29/01/2004. No longer current:R 1 (2013),Operational mattersInformation exchange,Operational mattersInformation exchange,"Recommendation XV-20 (ATCM XV - Paris, 1989)","AIR SAFETY IN ANTARCTICAThe Representatives,Recalling Recommendations I-X and XIV-9;Recognising the importance of ensuring safe air operations in the Antarctic, and:(a)  that there is a wide range of problems in air operations which are becoming more urgent with increasing activity;(b)  that the principal body of knowledge and experience of Antarctic air operations, and its current problems, lies with the operators of national Antarctic programmes;Noting, with appreciation, the Report of the Meeting of Experts on Air Safety in Antarctica, held in Paris from 2 to 5 May 1989;Recommend to their Governments that:1.  For the purpose of ensuring that measures for improved air safety apply to all flights in Antarctica, measures to improve air safety set out in paragraphs 2-10 below should be elaborated on the basis of ICAO criteria, taking due account of the specific features of Antarctica as well as of existing practices and services.2.  For the purpose of ensuring the safety of air operations in the Antarctic Treaty area, they exchange, preferably by 1 September and no later than 1 November each year, information about their planned air operations in accordance with the standardized format at Annex 1 to this Recommendation.3.  For the purpose of improving air safety in Antarctica, national Antarctic programmes operating aircraft in Antarctica and their aircrews should be provided with a continuously updated compendium (‘Handbook’) describing ground facilities, aircraft and aircraft operating procedures (including helicopters) and associated communications facilities operated by each national Antarctic programme (out of the use of which questions of liability will not arise) and, therefore, they should:(a)  prepare such a Handbook as a matter of urgency;(b)  facilitate the preparation of such a Handbook by their national Antarctic programme operators by collective action through the medium of the Council of Managers of National Antarctic Programmes (COMNAP) federated to SCAR;(c)  adopt a loose-leaf format in which information provided by each national operator is kept separate (unless facilities are jointly operated) so as to facilitate updating of information;(d)  request their national Antarctic operators to provide information for the purpose of compiling the Handbook in accordance with Annex 2 to this Recommendation.4.  For the purpose of ensuring mutual awareness of current air operations and exchanging information about them, they should designate:(a)  Primary Air Information Stations (PAIS) which coordinate their own air information and information from their Secondary Air Information Stations (if any) for the purpose of notifying current air operations to other PAIS.  These PAIS should have adequate communication facilities able to transmit ""hard copy"" information by means of an agreed HF data mode and/or INMARSAT; and(b)  Secondary Air Information Stations (SAIS) which comprise stations/bases (including field bases and ships) which provide air information to their parent coordinating PAIS.5.  For the purpose of avoiding air incidents in areas beyond the range of VHF radio coverage of primary and secondary stations, aircraft outside the areas covered by primary and secondary stations should use a specific radio frequency to apply the ""TIBA"" procedure laid down in Annex 11 to the Convention on International Civil Aviation.6.  So as to ensure compliance with Article VII, paragraph 5 of the Antarctic Treaty and also Recommendation X-8, Part IV, they should keep one another informed about non-governmental flights and a reminder of the above provisions should be given to all pilots filing a flight plan for flights to Antarctica.7.  So as to provide for the improved collection from, and exchange within Antarctica of meteorological data and information of significance to the safety of Antarctic air operations, they should:(a)  encourage the World Meteorological Organisation in their work towards this end; and(b)  take steps to improve meteorological services available in Antarctica, specifically to meet aviation requirements.8.  For the purpose of ensuring effective communications between Primary Air Information Stations (PAIS), they ensure that their PAIS have adequate facilities for communicating with other PAIS, and that, in this connection, they bear in mind the INMARSAT system.9.  For the purpose of locating aircraft in distress in Antarctica, and noting the possibilities offered by the COSPAS-SARSAT system for the location of Emergency-Locator-Beacons-Aircraft transmitting on 406 Mhz, they designate points of contact which are to be the addressees of emergency location messages relating to air operations in Antarctica generated by the COSPAS-SARSAT system.10.  For the purpose of enhancing the safety of operation of aircraft in the longer term, studies should be undertaken, at a suitable time, aimed at making use of a satellite communication and navigation system being developed within the framework of ICAO.",,1989,ATCM XV,,
188,Hydrographic survey and charting,Did not enter into effect. No longer current:D 1 (2014),Operational mattersEnvironmental protection,Operational mattersEnvironmental protection,"Recommendation XV-19 (ATCM XV - Paris, 1989)","COOPERATION IN THE HYDROGRAPHIC CHARTING OF ANTARCTIC WATERSThe Representatives,Recognising the importance and historical values of activities carried out by the countries who developed the present knowledge of Antarctic hydrography;Aware that there have been significant increases in both the number and size of vessels operating in Antarctic waters in recent years;Recognising that severe environmental conditions in the Antarctic give rise to particular risks for shipping and hydrographic activities;Recognising that the sea ice conditions can lead to the diversion of shipping from acknowledged routes, thus requiring the extension of charting into waters contiguous to such routes;Conscious that the safety of life at sea and the protection of the Antarctic marine environment and dependent and associated ecosystems requires that the Consultative Parties should take all possible steps open to them, by improving the charting of Antarctic waters, to ensure the safety of navigation so that maritime accidents are reduced to a minimum;Recognising that the resources available to devote to hydrographic surveys and the accurate positioning and depiction of the Antarctic coastline are scarce;Conscious of the benefits to be gained by making provision for international cooperation between those countries which undertake hydrographic surveys and nautical charting of Antarctic waters and of utilising to the maximum extent cooperative arrangements which already exist routinely between hydrographic offices and, therefore, of the need to avoid the establishment of a parallel system;Aware of the role traditionally played by the International Hydrographic Organization (IHO) in contributing to cooperation between hydrographic offices, and by the Scientific Committee on Antarctic Research (SCAR) in all cartographic and other scientific activities in Antarctica;Recommend to their Governments that :1.  They increase their mutual cooperation in the hydrographic survey and charting of Antarctic waters in order to contribute to the safety of navigation, the protection of the Antarctic environment and dependent and associated ecosystems, and for scientific purposes.2.  For the purposes of hydrographic survey and charting and associated terrestrial surveys and mapping, they coordinate their activities within the framework of IHO and SCAR, as appropriate.",,1989,ATCM XV,,
187,Meteorological and sea ice information services,Did not enter into effect. No longer current:D 1 (2014),Operational matters,Operational matters,"Recommendation XV-18 (ATCM XV - Paris, 1989)","COOPERATION IN METEOROLOGICAL AND SEA ICE INFORMATION SERVICES FOR MARITIME AND AIR NAVIGATION IN ANTARCTICAThe Representatives,Recalling Article II of the Antarctic Treaty and the Recommendations relating to cooperation in Antarctic logistics (II-V, III-III, IV-25) as well as Recommendation XIV-10 on the marine meteorological and sea ice information service;Having regard to the continuing occurrence of hazardous situations leading to loss of or damage to ships in the Treaty Area,Noting the report of a SCAR/WMO/IOC group of experts meeting;Taking into account the results of discussion on Recommendation XIV-9 concerning air safety in Antarctica, revealing the urgent necessity to improve meteorological information for flights in the area of the Antarctic;Wishing to act to increase the efficiency and safety of maritime and air navigation in the Treaty area on the basis of international cooperation;Recommend to their Governments that:1.  They continue to consider ways of developing and improving meteorological and sea ice information services for maritime and air navigation in the Antarctic Treaty area;2.  The report of the Leningrad group of experts meeting be referred to the WMO Working Group on Antarctic Meteorology for formal consideration and comment at its next meeting.3.  Upon completion of the review by the WMO Working Group on Antarctic Meteorology the matter be considered by COMNAP, in association with SCAR, for the purpose of recommending any appropriate further joint, or individual action to the next Consultative Meeting.4.  In order to assist in improving meteorological services to maritime and air navigation, they take prompt measures to participate in the IGOSS, drifting-buoy and automatic weather station programmes to provide maximum data for international exchange and operational use.",,1989,ATCM XV,,
186,Establishment of new stations,Effective 07/05/2004,Operational matters,Operational matters,"Recommendation XV-17 (ATCM XV - Paris, 1989)","FACILITATION OF SCIENTIFIC RESEARCH:THE SITING OF STATIONSThe Representatives,Reaffirming that freedom of scientific investigation as set out in Article II of the Antarctic Treaty is one of the fundamental principles of the Treaty;Affirming that measures adopted in this Recommendation are not intended to interfere with the possibility of a non-Consultative Party establishing a station in Antarctica but to ensure that such Parties may maximize their contribution to knowledge and the protection of the Antarctic;Recalling Recommendations I-I, VI-4, VII-1, VIII-11, VIII-13, IX-5, XII-3, and XIV-2;Recalling that at the XIIIth Consultative Meeting, Recommendation XIII-6 was adopted, calling for consultations between nations with Antarctic programmes operating existing stations in the same vicinity;Recalling that the Final Report of the XIVth Consultative Meeting notes that:(a) new stations had a greater possibility of maximizing their scientific potential if established in the widest possible range of areas;(b) SCAR had:(i) recorded its concern that the continued increase in the number of stations in some parts of the Antarctic could result in unproductive duplication of scientific programmes; and(ii) recommended that adequate prior notice be given of intent to undertake a development or scientific activity that is likely to have a major environmental impact; and(c) a process of consultation was needed which started as early as possible in the planning stage of the new station and continued through subsequent stages, including the development and implementation of routine operations;Recognizing that the establishment of a new station or major logistic support facility is an activity which is likely to have more than a minor or transitory effect on the environment and is therefore subject to the Comprehensive Environmental Evaluation procedure described in Recommendation XIV-2;Bearing in mind that while the establishment in the same vicinity of scientific research stations and logistic support facilities may favour scientific co-operation and the functioning of these stations, excessive concentration of such installations may have a negative effect on scientific activities and on the environment;Recommend to their Governments that:1.  They urge Contracting Parties, when considering the establishment of new stations or facilities, to take the following measures to avoid excessive concentration in Antarctica of such stations or facilities:(a)  as early as possible when considering the establishment of a new station or facility in the vicinity of one or more existing stations or facilities, Contracting Parties should initiate, through their national Antarctic programmes, a process of consultations, co-ordination and possible cooperation with the other national Antarctic programme or programmes concerned;(b)  they should continue this process through the subsequent stages, including the development and implementation of routine logistic operations, with a view to minimizing both interference with existing programmes and impact on the environment;(c)  before establishing a new station or facility, Contracting Parties should prepare a Comprehensive Environmental Evaluation in accordance with Recommendation XIV-2.2.  In the case of a station or facility which the national Antarctic programme of a non-Consultative Party proposes to establish, they offer assistance to the managers of that programme with respect to the choice of site and the preparation of the Comprehensive Environmental Evaluation, with a view to maximizing the scientific output of the new programme and minimizing its environmental impact.",,1989,ATCM XV,,
185,Development of data systems,Did not enter into effect. Withdrawn:D 3 (2017),Scientific cooperation,Scientific cooperation,"Recommendation XV-16 (ATCM XV - Paris, 1989)","FACILITATION OF SCIENTIFIC RESEARCH:COMPARABILITY AND ACCESSIBILITY OF ANTARCTIC SCIENTIFIC DATAThe Representatives,Recalling:(a)  Article III (1) (c) of the Antarctic Treaty calling on Parties to exchange and make freely available scientific observations and results from Antarctica;(b)  Recommendation XIII-5 inviting the Scientific Committee on Antarctic Research (SCAR) to offer scientific advice on how to improve the comparability and accessibility of Antarctic scientific data; and(c)  that the Report of the XIVth Consultative Meeting identified determination of types of useful data for management and assessment and the development of a directory as two important initial steps to improve data comparability and accessibility;Noting that:(a)  the Report of XX SCAR responds to Recommendation XIII-5 by describing several steps needed for the establishment of an Antarctic data system and by calling for the establishment of a committee on data  management to advise on the development of such a system;(b)  SCAR has established such a committee with the following terms of reference:(i)  to determine the requirements within SCAR for a coordinated approach to data;(ii)  to consider the possible compilation of a SCAR directory of available items, data bases, geographical information systems, data centres, specimen holdings, relevant archives and bibliographic collections;(iii)  to consider the formation of guidelines for common or minimum formats for data collection and archiving; and(iv)  to suggest areas for coordination with external activities or organisations;(c)  the Report of XX SCAR identifies the development of national directories of Antarctic data as the logical first step in the development of a data system;Desiring:(a)  to improve the accessibility and comparability of Antarctic scientific data to help give effect to Article III (1) (c) of the Antarctic Treaty; and(b)  to create an Antarctic scientific data system for use in facilitating environmental assessment and monitoring and the promotion of scientific research;Recommend to their Governments that:1.  They develop and make available to SCAR and other Antarctic Treaty Parties a directory listing where and in what format Antarctic scientific data now exist.2.  They agree, working in cooperation with the SCAR Committee to compile an Antarctic Scientific Data Directory.3.  They agree to assist the SCAR Committee to develop a programme of work describing further steps needed to create an Antarctic Scientific and Environmental Data System, including consideration of relevant technologies.4.  Upon completion of the draft programme of work developed by SCAR, in cooperation with relevant governmental experts, they convene, in accordance with Recommendation IV-24, a Meeting of Experts, with expertise in data management, to consider how to establish an Antarctic Scientific and Environmental Data system.",,1989,ATCM XV,,
184,Promotion of international scientific cooperation,Effective 29/01/2004. No longer current:D 1 (2014),Scientific cooperation,Scientific cooperation,"Recommendation XV-15 (ATCM XV - Paris, 1989)","PROMOTION OF INTERNATIONAL SCIENTIFIC COOPERATIONThe Representatives,Recalling Articles II and III of the Antarctic Treaty and Recommendations relating to the facilitation of international scientific cooperation;Recognising the increasing importance of Antarctica for scientific research, especially for the global environment;Noting that the number of countries actively involved in Antarctic scientific research has increased considerably in recent years;Recognising that this development has led to a concentration of research stations and of logistical support facilities in the more easily accessible regions of Antarctica and that this can lead to redundancy in scientific programmes and to unfavourable impact on the environment;Conscious of the need to maximise the scientific output for a minimum of environmental impact;Conscious that the sophistication and therefore the cost of many Antarctic scientific programmes is increasing and that some Consultative Parties are more able than others to bear the cost of such sophisticated programmes;Recognising the scientific importance of environmental monitoring programmes in the broadest sense and that without these programmes many advances in Antarctic science which are of global significance would not be possible;Recognising the need to encourage timeliness, relevance and excellence in the pursuit of Antarctic science and the importance of inter-comparability and accuracy in integrated research programmes to the end that the contributions to knowledge of these programmes may be greater than the sum of their constituent parts;Desiring to promote efficiency in the utilisation of scarce resources;Noting that the promotion of international scientific cooperation in Antarctic research is the basic objective of SCAR’s activities and warmly welcoming SCAR’s commitment to the holding of an unprecedented Antarctic Science Conference in 1991 designed to foster interdisciplinary discussion and science planning amongst Antarctic scientists, and the integration of Antarctic research into global programmes and the strengthening of the interaction of Antarctic science, represented by SCAR, with the international science community;Recommend to their Governments that:1.  They take such steps as may be open to them to encourage participation in the SCAR Antarctic Science Conference in 1991 on the part of their Antarctic communities and take note of its results.2.  All Contracting Parties, in planning Antarctic activities, should seek through consultation within the Antarctic science community, to take account of the scientific objectives of SCAR.3.  Through their national committees, they invite SCAR to:(a) facilitate the participation in its activities of representatives from Antarctic scientific communities with less experience or fewer resources; and(b) consider identifying, by scientific discipline and geographical area, scientific topics, including data gathering and environmental monitoring, by which countries with less experience or fewer resources would best be able to ensure that their activity contributed to knowledge of Antarctica to the benefit of all.4.  That those with longer and wider experience of Antarctic science and logistics should, as far as practicable and feasible, favorably consider requests for advice, training and participation in their national Antarctic programmes from those with less experience, and otherwise encourage cooperation with their programmes.5.  Generally, they should seek by all means open to them to promote the objectives of Article III of the Antarctic Treaty.",,1989,ATCM XV,,
183,Promotion of international scientific cooperation,Effective 29/01/2004,Scientific cooperation,Scientific cooperation,"Recommendation XV-14 (ATCM XV - Paris, 1989)","PROMOTION OF INTERNATIONAL SCIENTIFIC COOPERATION:A DECLARATIONThe Representatives,Recommend to their Governments that they approve the following declaration on scientific research in Antarctica:The Governments participating in the XVth Consultative Meeting:Deeply aware of the role that Antarctica and the Southern Ocean play in interactive physical, chemical and biological processes that regulate the total Earth System;Recognizing that,(a) the Antarctic region has a high negative radiation budget and so acts as one of the Earth’s ""refrigerators"".  Any changes in the budget will have global consequences on atmospheric and oceanic circulation;(b) conditions beneath the ice shelves and the girdle of sea ice promote the formation of cold bottom water that drains northward;(c) polar seas play an especially important role in the exchange of CO2 between ocean and atmosphere since they may be large sinks for CO2.  These processes are controlled by the sea-ice formation, thermohaline convection and biological productivity;(d) Antarctica provides unique conditions for investigating the impact of man-made pollutants on atmospheric ozone;(e) a detailed record of past global climate and atmospheric chemistry extending over hundreds of millennia is preserved within the Antarctic ice sheet, and in the sediments of the Southern Ocean and the Antarctic continent;(f) because climate change is predicted to be largest at high latitudes, detection of such change above the background of high natural variability is best sought in the polar regions;(g) plant communities existing under polar conditions are sensitive to changes in temperature, and may be good indicators of climate change;(h) the Antarctic ice sheet contains enough water to raise global sea level world-wide some 60 metres.  Any greenhouse climate warning which makes even a small change to this volume of ice will have a significant impact on sea level:Recognizing, with appreciation, that the contribution that Antarctic science can make to these scientific questions is the subject of intensive work within the Scientific Committee on Antarctic Research (SCAR) and that they have identified the following five major, interconnected, interdisciplinary research thrusts for the purpose of defining and encompassing research priorities :(a) Detection of Changes of Global Importance Best Observed in Antarctica;(b) Processes Linking Antarctic Ice and Biological Systems to the Global Ocean and Atmosphere;(c) Antarctic Sources of Palaeoenvironmental Information;(d) Ecology in the Changing Antarctic Environment;(e) Monitoring Changes in Antarctica;Recognising, moreover, that other scientific programmes which are not so directly relevant to issues of global change are of no less value to science;Conscious of the need to ensure that all Antarctic activity is based on information adequate to ensure that informed judgements can be made about their environmental consequences;Renew their commitment to the pursuit of scientific research in the Antarctic; andDeclare their intent:1. Vigorously to pursue scientific research programmes in Antarctica in a manner which makes the most productive use of the resources available.2. To ensure that their scientific endeavors contribute as much as possible to programmes of global significance being undertaken or being prepared by the International Council of Scientific Unions and by other international organisations.3. To ensure that research results and observations are, in accordance with Article III of the Antarctic Treaty, made freely available and that the results of Antarctic programmes of global significance are brought to the attention of the international scientific community as rapidly as possible.4. To ensure that activities in the Antarctic take full account of the global importance of the Antarctic as a scientific laboratory and as a place where aspects of global changes can most readily be monitored.5. To ensure, in conformity with the declaration in Recommendation IX-5 on the Antarctic environment, that all Antarctic activity is based on information adequate to ensure that informed judgements can be made about their environmental consequences",,1989,ATCM XV,,
182,Description of Historic Monument 53 (Elephant Island) modified,Effective 07/05/2004,Historic Sites and MonumentsArea protection and management,Historic Sites and MonumentsArea protection and management,"Recommendation XV-13 (ATCM XV - Paris, 1989)","ANTARCTIC PROTECTED AREA SYSTEM:HISTORIC SITES AND MONUMENTS(AMENDMENT TO DESCRIPTION OF HM 53)The Representatives,Recalling that Historic Monument No. 53 was added to the list of Historic Monuments annexed to Recommendation VII-9, and that this Historic Monument celebrates the rescue by the Chilean pilot Luis Pardo Villalon of the survivors of the British vessel ""Endurance"" in 1916 and consists of a monolith placed on Elephant Island with replica monoliths placed at the Chilean stations ""Arturo Prat"" on Greenwich Island and ""Rodolpho Marsh"" on King George Island;Noting that during the XXIVth Chilean Antarctic Scientific Expedition in 1987-1988, a bronze bust of the pilot Pardo was placed on each of these monoliths;Recommend to their Governments that:The following clause be added at the end of the description of Historic Monument No. 53 in Recommendation XIV-8:""Bronze busts of the pilot Luis Pardo Villalon were placed on the three above-mentioned monoliths during the XXIVth Chilean Antarctic Scientific Expedition in 1987-1988.""",,1989,ATCM XV,,
181,"Historic Monuments 54 (East Base, Stonington Island) and 55 (Richard E. Byrd Monument, McMurdo Station)",Effective 07/05/2004,Historic Sites and MonumentsArea protection and management,Historic Sites and MonumentsArea protection and management,"Recommendation XV-12 (ATCM XV - Paris, 1989)","ANTARCTIC PROTECTED AREA SYSTEM:NEW HISTORIC SITES AND MONUMENTSThe Representatives,Recalling Recommendations I-IX, V-4, VI-14, VII-9, XII-7 and XIII-16 and XIV-8;Recommend to their Governments that the following historic monuments be added to the ""List of Historic Monuments Identified and Described by the Proposing Government or Governments"" annexed to Recommendation VII-9 and that thereafter they be accorded the respect and protection required by the Recommendation recalled above:54.  Richard E. Byrd Historic Monument, McMurdo Station, Antarctica (77°51'S., 166°40'E.).  Bronze bust on black marble, 5ft high x 2ft square, on wood platform, bearing inscriptions describing the polar achievements of Richard Evelyn Byrd.  Erected at McMurdo Station in 1965.55.  East Base, Antarctica, Stonington Island (68°11'S., 67°00'W.).  Buildings and artefacts at East Base, Stonington Island and their immediate environs.  These structures were erected and used during two U.S. wintering expeditions:  the Antarctic Service Expedition (1939-1941) and the Ronne Antarctic Research Expedition (1947-1948).  The size of the historic area is approximately 1,000 meters in the north-south direction (from the beach to Northeast Glacier adjacent to Back Bay) and approximately 500 metres in the east-west direction.",,1989,ATCM XV,,
